top,heart,base,perfume_id
"[96, 660, 246]","[473, 512, 7, 26]","[920, 808, 924, 624]",26126009
[7],,,26126010
,,,26126012
"[661, 639, 715]","[473, 669]","[649, 692]",26126013
,,,26126014
[680],[565],,26126015
,,,26126016
,,,26126017
"[526, 808, 624]",,,26126018
"[96, 939, 473]","[461, 785, 178]","[26, 624, 292]",26126019
,,,26126020
,,,26126021
,,,26126022
,,,26126023
,,,26126024
,,,26126025
"[512, 793, 530]","[44, 661]","[341, 649, 414]",26126026
,,,26126027
,,,26126028
"[96, 562, 388]","[372, 646, 224, 358, 661, 927]","[26, 692, 920, 461, 808, 193, 649, 513, 624, 908]",26126029
,,,26126030
"[530, 193, 562]","[639, 938]","[624, 26, 193]",26126031
,,,26126032
,,,26126033
"[12, 96, 392, 966, 473, 785, 228, 191, 649, 193, 808, 624]",,,26126034
"[864, 28, 785, 228, 652, 96, 900, 908]",,,26126035
"[96, 530, 341, 512, 26, 649, 649, 498, 624, 28]",,,26126036
,,,26126037
,,,26126038
,,,26126039
"[343, 808, 193, 900, 178, 259]",,,26126040
,,,26126041
,,,26126042
"[344, 366, 193, 245]",,,26126043
,,,26126044
,,,26126045
"[89, 661, 16]",,,26126046
,,,26126047
,,,26126048
,,,26126049
,,,26126050
,,,26126051
,,,26126052
"[96, 358, 473, 785, 624, 515, 26]",,,26126053
"[455, 7]",,,26126054
,,,26126055
"[661, 785]","[966, 715, 392, 639, 630, 920]","[920, 646, 808, 785]",26126056
,,,26126057
"[96, 392, 515]","[785, 785, 785, 785, 785, 785, 785, 785, 708, 224, 433]","[669, 26, 624, 808, 649, 472]",26126058
,,,26126059
"[599, 920, 624]",,,26126060
[624],,,26126061
,,,26126062
"[96, 178, 785, 785, 193, 707, 372, 624, 920, 800, 808, 7]",,,26126063
"[421, 927, 920, 624]",,,26126064
"[356, 913, 473, 193, 920, 27]",,,26126065
"[938, 473]",,,26126066
,,,26126067
"[353, 16, 920]",,,26126068
"[660, 785, 473]",,,26126069
,,,26126070
,,,26126071
,,,26126072
,,,26126073
[624],,,26126074
"[661, 639]",,,26126075
,,,26126076
"[913, 624, 473]",,,26126077
"[527, 455]",,,26126078
"[96, 426, 739, 785, 785, 707, 624]",,,26126079
"[785, 395]",,,26126080
,,,26126081
,,,26126082
"[785, 785, 367, 26, 455, 180, 101]",,,26126083
[938],,,26126084
,,,26126085
,,,26126086
,,,26126087
"[652, 627, 187, 785, 26]",,,26126088
"[224, 178, 900, 26, 808, 472]",,,26126089
[627],,,26126090
"[96, 331, 708, 472, 193, 193, 692, 808, 624]",,,26126091
,,,26126092
,,,26126093
"[920, 27, 624]",,,26126094
"[472, 26]",,,26126095
,,,26126096
"[96, 515, 660, 392, 624]",,,26126097
"[627, 659, 652, 904]",,,26126098
"[692, 920, 26, 624]",,,26126099
"[525, 44, 920]",,,26126100
"[96, 530, 785, 927, 808, 228, 26, 513]",,,26126102
,,,26126103
"[966, 245, 913, 367, 527, 808, 661]",,,26126104
"[26, 808, 498, 920, 187]",,,26126105
,,,26126106
"[395, 12, 624, 808, 649]",,,26126107
,,,26126108
,,,26126109
,,,26126110
,,,26126111
,,,26126112
"[108, 920, 785, 624]",,,26126113
"[353, 624]",,,26126114
,,,26126115
"[353, 7]",,,26126116
"[624, 473, 903]",,,26126117
"[28, 228, 669, 785]",,,26126118
[624],,,26126119
,,,26126120
[624],,,26126121
"[178, 785, 193, 692, 920, 808, 33]",,,26126122
"[808, 7, 193, 785, 785, 372, 652, 627, 800]",,,26126124
"[515, 708, 366, 245, 193, 808, 903, 624]",,,26126125
"[808, 193, 7, 292, 187]",,,26126126
,,,26126127
"[808, 461, 627]",,,26126128
"[785, 808, 808, 669, 28]",,,26126129
,,,26126130
,,,26126131
,,,26126132
"[227, 920]",,,26126133
,,,26126134
"[920, 176]",,,26126135
,,,26126136
"[785, 727, 273]",,,26126137
,,,26126138
,,,26126139
[366],,,26126140
"[96, 604, 888, 473, 708, 193]",,,26126141
"[604, 530, 96, 865]",,,26126142
,,,26126143
"[515, 555]",[398],"[924, 624]",26126144
[96],[473],"[808, 624]",26126145
"[530, 660, 883]","[966, 372]","[920, 808, 193]",26126146
"[376, 388, 45]","[707, 966, 773]","[26, 808, 920]",26126147
"[660, 739, 690]",[358],"[16, 624]",26126148
[725],"[601, 966]","[924, 920, 193]",26126149
"[707, 102, 854]","[421, 601, 529]","[26, 692, 920, 472]",26126150
"[96, 178, 224, 723]","[785, 473, 661, 421]","[7, 26, 624, 765, 216, 694]",26126151
,,,26126152
"[690, 491, 227]","[358, 661, 444]","[808, 26]",26126153
[178],,"[900, 864]",26126154
,,,26126155
"[96, 74, 939, 281]","[292, 461, 529, 372, 512]","[624, 924]",26126156
,,,26126157
,,,26126158
,,,26126159
,,,26126160
,,,26126161
"[461, 473, 472, 863, 513, 904]",,,26126162
,,,26126163
,,,26126164
,,,26126165
,,,26126166
,,,26126167
,,,26126168
[227],[785],[187],26126169
"[367, 624]",,,26126170
"[920, 455]",,,26126171
"[26, 913]",,,26126172
"[96, 512]","[473, 966, 785]","[920, 692]",26126173
"[660, 708, 259]","[670, 398]",[808],26126174
"[102, 562, 45]","[512, 372, 292]","[649, 624, 692, 808, 193, 26]",26126175
"[601, 150]","[356, 927, 473]","[669, 920]",26126176
"[96, 331, 652, 256]","[627, 498, 808, 193]",,26126177
,,,26126178
,,,26126179
,,,26126180
,,,26126181
[661],,[920],26126182
"[628, 193, 819]",,,26126183
"[604, 692, 624]",,,26126184
[227],[16],[808],26126185
"[692, 26, 808, 472]",,,26126186
"[808, 627, 224]",,,26126187
"[628, 344]",,,26126188
"[26, 658, 455]",,,26126189
,,,26126190
,,,26126191
,,,26126192
,,,26126193
,,,26126194
,,,26126195
,,,26126196
,,,26126197
,,,26126198
,,,26126199
,,,26126200
,,,26126201
,,,26126202
"[96, 176]",,,26126203
,,,26126204
,,,26126205
,,,26126206
"[193, 562, 388, 886, 259, 661, 649, 624, 26]",,,26126207
,,,26126208
"[593, 96, 630, 690]","[639, 694, 555, 785, 473]","[808, 924, 26, 920]",26126209
"[660, 785]","[725, 376, 180]","[193, 624, 193, 920]",26126210
"[358, 565, 178, 725]","[927, 555, 461, 473]","[920, 26, 649, 624]",26126211
,,,26126212
,,,26126213
,,,26126214
,,,26126215
,,,26126216
"[96, 515, 928]","[785, 473]","[193, 624]",26126217
[773],,[748],26126218
"[660, 562]","[74, 398]","[649, 624]",26126219
[725],[670],,26126220
"[388, 883, 96]","[473, 660, 356]","[920, 920, 808]",26126221
,,,26126222
"[527, 708, 913, 927, 358]","[785, 707, 473, 529, 526, 372]","[193, 692, 808, 624]",26126223
,,,26126224
"[562, 515, 694, 96, 259, 646, 708]","[785, 601, 473, 529, 694, 461]","[808, 649, 433, 624, 692]",26126225
"[16, 245, 473, 785, 966, 920, 903, 421, 624]",,,26126226
"[176, 920, 624]",,,26126227
[290],"[473, 421]","[920, 26]",26126228
"[96, 639, 473, 44, 920, 624]",,,26126229
"[920, 920, 920, 421, 808, 26]",,,26126230
[455],"[785, 785, 785]","[908, 692, 7]",26126231
,,,26126232
,,,26126233
,,,26126234
"[527, 931, 707, 26]",,,26126235
,,,26126236
,,,26126237
,,,26126238
,,,26126239
"[178, 96, 562]","[785, 911]","[32, 624, 7, 692, 193]",26126240
[395],"[785, 785, 913, 473]","[26, 624, 920]",26126241
"[96, 562, 515]","[237, 178, 646, 372, 966]","[920, 903, 808, 692, 627]",26126242
"[593, 660]","[473, 966]",,26126243
"[96, 512]","[82, 229, 646]",[692],26126244
"[939, 303, 480]",[924],"[193, 692]",26126245
"[708, 237, 224]","[229, 512]","[649, 7, 692]",26126246
"[785, 966, 707]","[808, 26]","[920, 624]",26126247
"[639, 358, 928]","[661, 473, 707]","[808, 920, 624, 26]",26126248
,,,26126249
"[652, 461, 725]",[259],"[254, 692]",26126250
,,,26126251
"[96, 102]","[785, 302, 473, 193]","[26, 920, 624]",26126252
,,,26126253
"[785, 178, 388, 176]",,,26126254
"[694, 680]","[250, 661]",[27],26126255
"[96, 515, 593]","[661, 913, 473]","[785, 245, 26, 624]",26126256
"[530, 96]",,,26126257
,,,26126258
"[690, 96]",,"[692, 920, 216, 433, 176]",26126259
"[725, 793, 395]","[670, 473, 367, 555]","[193, 624, 924, 26]",26126260
[966],"[670, 473, 785]","[461, 26, 692]",26126261
"[96, 178]","[927, 646, 854]","[808, 692, 26]",26126262
"[947, 96, 785]","[913, 661]","[920, 808, 624]",26126263
"[96, 562]","[473, 376]",[627],26126264
"[259, 515, 46, 802, 30]",,,26126265
"[698, 102, 771, 707, 785, 808, 920]",,,26126266
"[60, 178]","[624, 646, 512]","[908, 920, 959]",26126267
"[96, 45, 102, 395]","[290, 785, 938]","[193, 808, 924, 624]",26126268
[96],"[366, 473, 966, 646, 178]","[808, 624]",26126269
[660],,,26126270
"[259, 74, 886]","[372, 512, 939]","[193, 903, 624]",26126271
[388],,"[924, 920, 624, 224]",26126272
,"[924, 924]","[624, 187]",26126273
,,,26126274
,,,26126275
,,,26126276
"[515, 660, 883, 96, 388, 530, 101]","[639, 473, 715]","[512, 793, 896]",26126277
,,,26126278
,,,26126279
,,,26126280
[12],"[785, 473, 353]","[624, 26, 920]",26126281
,,,26126282
,,,26126283
"[353, 26, 920]",,,26126284
"[12, 96, 630, 366]","[237, 180, 512, 224]","[808, 649, 924, 28, 692, 624, 920]",26126285
"[96, 639]","[785, 421, 473, 472, 498, 652, 659, 927]","[624, 28, 692, 228, 920]",26126286
,,,26126287
,,,26126288
,,,26126289
"[96, 639, 661, 437]","[785, 473, 966, 529, 367]","[808, 513, 624, 228, 498, 28, 191]",26126290
[900],,,26126291
,,,26126292
,,,26126293
,,,26126294
,,,26126295
"[630, 785, 808, 191]",,,26126296
,,,26126297
"[661, 785, 421, 367, 473, 649, 692, 924]",,,26126298
"[96, 473, 924, 646]",,,26126299
"[785, 96, 372]",,,26126300
"[96, 388, 530, 481, 42, 519, 793, 259, 692, 26, 624, 376]",,,26126301
,,,26126302
"[785, 529, 193, 808]",,,26126303
,,,26126304
,,,26126305
"[96, 178, 708]","[565, 473, 785, 290, 927, 966]","[908, 920, 692, 26]",26126306
"[562, 660, 773]","[461, 670, 224, 708]","[692, 908]",26126307
"[96, 661]","[555, 739, 421]","[808, 908, 624]",26126308
,,,26126309
,,,26126310
,,,26126311
,,,26126312
"[80, 649]",,,26126313
,,,26126314
"[692, 708]",,,26126315
"[331, 928, 785]",,,26126316
,,,26126317
,,,26126318
"[444, 649]",,,26126319
,,,26126320
,,,26126321
,,,26126322
,,,26126323
,,,26126324
,,,26126325
"[586, 450, 498, 652, 785, 708, 924, 808, 193, 692, 624, 26]",,,26126326
,,,26126327
,,,26126328
,,,26126329
,,,26126330
,,,26126331
,,,26126332
,,,26126333
,,,26126334
,,,26126336
,,,26126337
,,,26126338
,,,26126339
,,,26126340
,,,26126341
,,,26126342
,,,26126343
[96],"[966, 473]","[649, 692]",26126344
,,,26126345
,,,26126346
,,,26126347
,,,26126348
,,,26126349
,,,26126350
,,,26126351
,,,26126352
,,,26126353
,,,26126354
"[593, 708]",,"[624, 692, 908]",26126355
"[388, 562, 96, 529]",,,26126356
,,,26126357
,,,26126358
[473],"[670, 707]","[26, 187, 624]",26126359
"[53, 395, 639]","[723, 864, 732, 372, 646]","[187, 908, 26, 808, 193, 624]",26126360
,,,26126361
"[96, 765]",[526],"[808, 421, 624]",26126362
"[358, 392]","[437, 785, 601]",[624],26126363
"[888, 108]",[707],"[924, 26]",26126364
[290],[555],"[193, 624]",26126365
"[562, 690]","[473, 707, 785, 661]","[649, 692]",26126366
"[562, 770]",[927],[513],26126367
[639],"[661, 802]","[808, 692]",26126368
"[660, 101, 660, 515, 347, 924, 908, 193]",,,26126369
"[102, 118, 376, 178, 224, 562]","[913, 529, 290]","[7, 692, 26, 908, 624, 920]",26126370
"[376, 227]",[353],"[193, 26, 920]",26126371
"[515, 96, 715]","[290, 473]","[924, 649]",26126372
,"[473, 785, 966]","[652, 808]",26126373
[515],[372],[808],26126374
"[42, 660]","[366, 646]",[652],26126375
[660],"[785, 229]",[473],26126376
,"[785, 966, 473]",[808],26126377
[42],"[785, 639]",[652],26126378
"[42, 660]","[785, 229, 512]",,26126379
[883],[639],"[808, 900]",26126380
"[388, 660]","[966, 639, 715]",[692],26126381
[920],,,26126382
[473],,,26126383
"[515, 96]","[601, 366, 376, 913, 670]",[473],26126384
"[96, 971, 198, 250]",,,26126385
"[913, 473, 473, 473, 785, 96, 227, 920]",,,26126386
,,,26126387
"[883, 530, 96, 259]","[708, 512, 793]",[193],26126388
"[515, 82]",[372],"[652, 331]",26126389
[114],[178],,26126390
"[530, 42]","[512, 675, 913]",[920],26126391
"[515, 96]",[82],"[900, 649]",26126392
"[82, 96]","[785, 639, 224]","[808, 473]",26126393
"[45, 96]","[473, 555]","[920, 624, 692]",26126395
"[562, 376]","[670, 473]","[808, 624]",26126396
"[765, 497]","[473, 108]","[908, 920]",26126397
"[96, 698, 660, 694]","[473, 785, 927, 354]","[26, 624, 808, 920]",26126398
"[96, 515, 562]","[707, 356]","[193, 920]",26126399
,,,26126400
,,,26126401
,,,26126402
,,,26126403
"[562, 698, 694, 725]","[562, 698, 694, 725]","[808, 649, 624, 920, 692, 924, 26]",26126404
"[802, 96, 201, 372, 512]","[353, 102]","[649, 924, 624]",26126405
,,,26126406
,,,26126407
"[96, 515, 660, 480, 512]","[372, 473, 237, 246, 802, 60]","[649, 193, 924, 624]",26126408
"[353, 624]",,,26126409
,,,26126410
,,,26126411
,,,26126412
"[515, 290, 883, 388]","[376, 437]","[624, 808, 193]",26126413
"[366, 51]","[785, 473, 670, 708]","[808, 624, 920]",26126414
"[96, 604, 708, 771]","[290, 473, 908, 358, 16]","[193, 624, 808, 920, 26]",26126415
,,,26126416
,,,26126417
,,,26126418
"[96, 515]","[512, 473, 661, 793]","[692, 649, 193]",26126419
"[562, 497, 491]","[473, 966, 529, 358, 927, 42]","[624, 193, 808, 924, 26, 908]",26126420
"[353, 920, 26]",,,26126421
"[785, 362, 959]",,,26126422
"[562, 639, 732]","[461, 2, 661, 224]","[624, 920, 808, 692]",26126423
,,,26126424
"[96, 883, 680, 723]","[927, 473, 529, 398]","[624, 649, 959]",26126425
,,,26126426
,,,26126427
"[367, 473, 358, 354, 26, 808, 193, 908, 26, 624]",,,26126428
"[96, 971, 530, 562]","[664, 928, 193]","[26, 624, 692]",26126429
"[883, 732, 96, 694, 224, 529, 473, 808, 26, 624]",,,26126430
"[96, 732, 529, 927]","[421, 290, 461, 473]","[808, 26, 924]",26126431
,,,26126432
,,,26126433
"[698, 601, 707]","[426, 920]","[26, 624, 808, 472]",26126434
"[96, 883, 708, 694]","[473, 545, 555]","[187, 624, 920]",26126435
[336],"[372, 785]",[624],26126436
,,,26126437
"[639, 96, 395]","[259, 178]",[624],26126438
,,,26126439
,,,26126440
,,,26126441
"[96, 923, 388]","[372, 896, 937, 646]","[193, 26, 808, 692]",26126442
"[96, 660]",[395],[624],26126443
"[96, 515, 388, 723, 395]","[555, 358, 793, 886, 512, 372]","[624, 26, 808, 649, 908]",26126444
,,,26126445
,,,26126446
,,,26126447
"[515, 886, 802, 562, 96, 388]",[178],"[924, 193, 624, 26, 498]",26126448
,,,26126449
,,,26126450
,,,26126451
,,,26126452
,,,26126453
,,,26126454
,,,26126455
,,,26126456
,,,26126457
,,,26126458
,,,26126459
,,,26126462
,,,26126463
,,,26126464
,,,26126465
,,,26126466
,,,26126467
,,,26126468
"[785, 927, 28, 808, 193, 669, 649, 624]",,,26126469
,,,26126471
,,,26126472
,,,26126473
,,,26126474
"[661, 639, 913, 473, 89, 627, 808, 28, 924, 649]",,,26126475
,,,26126476
,,,26126477
,,,26126478
"[927, 461, 785, 193, 924, 928, 908, 414, 627]",,,26126479
,,,26126480
,,,26126482
,,,26126483
"[698, 733]",[367],"[920, 624, 808, 692]",26126484
"[444, 739, 555, 808, 26, 108, 300]",,,26126485
,,,26126486
"[512, 793, 336]","[372, 785, 661]","[692, 649]",26126487
"[785, 180, 664, 927, 527, 455, 26, 808, 624]",,,26126488
"[461, 785, 473, 96]",,"[26, 808, 624]",26126489
,,,26126490
[341],"[692, 512]","[808, 193, 649]",26126491
,,,26126492
,,,26126493
[395],"[785, 372]",[624],26126494
,,,26126495
,,,26126496
,,,26126497
,,,26126498
,,,26126499
,,,26126500
[341],[652],"[414, 498]",26126501
[7],"[250, 513, 924]",[26],26126502
"[708, 725, 259, 670]",[785],"[627, 472, 7]",26126503
[354],"[664, 785]","[624, 945]",26126504
"[472, 96]","[555, 913]","[26, 692, 236, 624]",26126505
[708],[372],"[7, 808, 692]",26126506
[660],[202],"[900, 903]",26126507
[388],"[725, 473]",[347],26126508
[800],"[785, 646]","[178, 627]",26126509
[785],"[913, 785]",[198],26126510
,,,26126511
"[530, 473, 193, 900, 414]",,,26126512
"[515, 246, 962, 193, 778]",,,26126513
,,,26126514
,,,26126515
,,,26126516
,,,26126517
,,,26126518
,,,26126519
,,,26126520
,,,26126521
,,,26126522
,,,26126523
,,,26126524
,,,26126525
,,,26126526
[227],,[26],26126528
"[395, 227]",,"[959, 920]",26126529
"[227, 937]",[846],[959],26126530
,[353],"[959, 26]",26126531
,"[353, 959]",[26],26126532
[353],,[959],26126533
,"[353, 362]",[959],26126534
,"[353, 846]",[959],26126535
[395],"[362, 353]","[959, 26]",26126536
[227],[353],[959],26126537
[395],"[353, 846]",[959],26126538
"[937, 353]","[785, 473, 362]",[959],26126539
[660],[846],"[26, 920]",26126540
[395],"[353, 846]",[959],26126541
"[395, 846]",[353],[959],26126542
[624],"[353, 846]",[959],26126543
"[178, 562, 574, 259]","[193, 927]","[924, 513, 26]",26126545
"[661, 341]",,,26126546
"[800, 178, 785, 664]","[473, 661, 282, 224]","[692, 908, 498, 808]",26126547
"[785, 858, 624]",,,26126548
"[512, 96]","[785, 920, 692]",[36],26126549
,,,26126550
,,,26126551
"[96, 388, 562, 178]","[290, 473, 193]","[808, 924, 26, 624]",26126552
,,,26126553
,,,26126554
,,,26126555
,,,26126556
,,,26126557
,,,26126558
,,,26126559
,,,26126560
,,,26126561
,,,26126562
,,,26126563
,,,26126564
,,,26126565
,,,26126566
,,,26126567
,,,26126568
,,,26126569
"[353, 624]",,,26126570
"[353, 354]",,,26126571
,,,26126572
,,,26126573
,,,26126574
,,,26126575
,,,26126576
,,,26126577
,,,26126578
,,,26126579
,,,26126580
,,,26126581
,,,26126582
,,,26126583
,,,26126584
,,,26126585
,,,26126586
,,,26126587
,,,26126588
,,,26126589
,,,26126590
,,,26126591
,,,26126592
,,,26126593
,,,26126594
,,,26126595
,,,26126596
"[96, 367, 51]","[785, 473, 7]","[624, 808, 920, 421]",26126597
"[96, 102, 927, 353]","[936, 765, 785]","[26, 920, 624]",26126598
,"[927, 785, 529]",[193],26126599
"[708, 358]","[473, 785]","[193, 808]",26126600
,,,26126601
,,,26126602
,,,26126603
,,,26126604
,,,26126605
,,,26126606
,,,26126607
,,,26126609
,,,26126610
,,,26126611
,,,26126612
,,,26126613
,,,26126614
,,,26126615
,,,26126616
,,,26126617
,,,26126618
,,,26126619
,,,26126620
,,,26126621
,,,26126622
,,,26126623
,,,26126624
,,,26126625
,,,26126626
,,,26126627
,,,26126628
,,,26126629
,,,26126630
[388],[545],"[920, 808]",26126631
,,,26126632
,,,26126633
,,,26126634
,,,26126635
,,,26126636
"[565, 491]","[437, 473, 785]","[781, 98]",26126637
"[660, 723, 639]","[661, 473]","[27, 808]",26126638
"[96, 785]","[473, 498, 649]","[920, 624]",26126639
"[555, 515, 96]",,,26126640
,,,26126641
[529],"[461, 455]",[7],26126642
,,,26126643
,,,26126644
"[732, 694, 102]","[707, 785, 473, 913, 426, 529, 928, 461]","[193, 624, 808, 26]",26126645
"[96, 725, 765]","[664, 473, 785]","[808, 573]",26126646
,,,26126647
,,,26126648
,,,26126649
,,,26126650
"[96, 515, 562, 388, 512, 102, 723]","[661, 785, 473, 646, 529, 927, 193, 692]","[808, 403, 649, 26, 624, 908]",26126651
,,,26126652
"[573, 178, 854]","[376, 481, 229]","[7, 908, 649]",26126653
,,,26126654
"[395, 455, 900]",,,26126655
"[82, 519, 512]",[372],[808],26126656
"[395, 96, 515, 512]","[927, 461, 708, 178, 229]","[193, 808, 624]",26126657
"[193, 455, 354]",,,26126658
,,,26126659
"[515, 672, 562, 388]","[526, 437, 473]","[193, 808, 178, 646]",26126660
,,,26126661
,,,26126662
,,,26126663
,,,26126664
,,,26126665
"[96, 639, 515]","[473, 785, 966, 872, 661]","[808, 624, 920, 28]",26126666
,,,26126667
,,,26126668
,,,26126669
,,,26126670
,,,26126671
,,,26126672
,,,26126673
,,,26126674
,,,26126675
,,,26126676
,,,26126677
,,,26126678
,,,26126679
,,,26126680
,,,26126681
,,,26126682
"[515, 96, 639]","[473, 908, 920, 669]","[713, 26, 624]",26126683
,,,26126684
,,,26126685
,,,26126686
,,,26126687
"[96, 562, 971, 725]","[224, 33, 178]","[193, 924, 920, 692]",26126688
"[101, 725]","[398, 473, 707, 927]","[193, 26, 649]",26126689
"[785, 785, 802, 530]",,,26126690
"[913, 778]",,,26126691
,,,26126692
,,,26126693
[530],"[715, 96]","[785, 347]",26126694
"[473, 785, 444, 529, 649]",,,26126695
"[26, 481, 193, 512, 376]",,,26126696
[692],,,26126697
"[344, 102, 481, 292]",,,26126698
"[398, 785]",,,26126699
"[785, 707, 473, 102, 920]",,,26126700
"[376, 530, 920, 281]",,,26126701
,,,26126702
"[344, 708]","[527, 744, 664]","[26, 624, 513]",26126703
"[96, 939, 44]","[512, 292]","[808, 903, 649]",26126704
"[785, 7, 26, 177]",,,26126705
[96],"[259, 692, 924]","[26, 920]",26126706
"[785, 920, 26, 472, 808, 924, 908]",,,26126707
,,,26126708
"[354, 473, 695, 785, 800, 966, 624, 808]",,,26126709
"[530, 101, 800, 366, 627, 924, 808]",,,26126710
,,,26126711
,,,26126712
"[927, 102, 388, 765]","[245, 694, 723]","[669, 808, 624]",26126713
"[574, 661]","[473, 966, 785, 732]","[193, 808, 692, 26, 920]",26126714
"[102, 395, 694, 723]","[664, 785]","[26, 32, 624]",26126715
,,,26126716
"[358, 562, 102]","[785, 732]","[808, 692]",26126717
,,,26126718
"[96, 562, 358, 723]","[785, 473, 178, 661, 282, 224]","[920, 692, 26, 808]",26126719
"[971, 530, 395]","[785, 473]","[193, 808, 624]",26126720
,,,26126721
"[46, 698, 732]","[723, 694]","[28, 624]",26126722
"[102, 512, 773]","[785, 473, 282, 224, 966]","[692, 924, 624, 920, 193]",26126723
,,,26126724
,,,26126725
,,,26126726
"[660, 883, 388]","[473, 785, 545, 661]","[193, 26, 624]",26126727
[96],"[785, 669, 694]","[920, 193, 573, 624, 26]",26126728
"[96, 512]","[178, 692]","[193, 649, 26]",26126729
"[698, 395]","[920, 785, 664, 473, 421, 966, 331]","[808, 765, 26, 624]",26126730
,,,26126731
,,,26126732
,,,26126733
,,,26126734
"[96, 515, 45, 927, 246]","[886, 372, 237]","[808, 193, 26, 624]",26126735
"[96, 515, 562]",[341],"[924, 808, 193, 692, 246, 224, 376, 624, 26]",26126736
"[224, 45]","[924, 808, 193]","[920, 28]",26126737
"[515, 802]",[224],"[785, 692, 26]",26126738
[723],"[512, 940, 372, 886]","[692, 193]",26126739
"[96, 366, 480, 259]","[646, 372, 927, 180]","[808, 692, 461, 26, 649, 624]",26126740
"[562, 44, 593, 45]","[290, 229]","[193, 692, 624]",26126741
"[883, 412, 96]","[512, 886, 927, 372]","[193, 808, 649, 513]",26126742
